bi_gram,frequency
in,12122
er,11284
an,10765
re,9162
ar,8895
on,8527
or,8289
es,8165
ne,7891
st,7389
te,7187
ra,7023
en,6948
li,6843
al,6829
ma,6174
me,5974
le,5949
at,5742
ta,5699
to,5586
et,5307
la,5092
ti,5028
de,4971
ri,4902
ic,4894
ro,4852
am,4809
ng,4807
it,4750
co,4740
as,4720
ch,4704
nt,4569
se,4504
el,4370
ea,4308
ca,4294
po,4250
di,4201
ia,4145
lo,4129
is,4027
tr,3941
ad,3906
nd,3866
he,3848
na,3833
il,3788
mo,3769
ni,3630
ha,3605
ba,3587
ho,3569
ec,3478
si,3457
ve,3419
ed,3414
vi,3399
pa,3369
sh,3363
un,3345
os,3344
ou,3330
om,3329
ac,3257
oo,3254
rt,3232
ga,3195
th,3176
ai,3153
ol,3137
da,3132
us,3027
ur,3016
mi,2972
ot,2961
ee,2937
io,2932
no,2905
do,2857
ce,2841
ge,2834
ll,2825
ie,2756
pe,2744
sa,2726
be,2716
so,2699
hi,2679
id,2654
ns,2615
im,2611
ir,2605
ap,2602
op,2578
em,2559
pr,2537
rs,2509
