tri_gram,frequency
ine,2464
ing,2441
lin,2186
por,1999
ent,1935
ter,1790
ion,1693
tor,1570
tra,1534
the,1509
sta,1461
ers,1390
ame,1389
and,1387
new,1330
est,1315
nli,1273
onl,1224
net,1210
res,1194
dia,1191
orn,1174
ver,1161
ree,1146
art,1143
ban,1129
ort,1117
ate,1110
ati,1102
ews,1098
rea,1094
ang,1089
one,1086
pro,1063
ide,1062
all,1059
ive,1044
for,1032
gam,1028
are,1011
ran,1003
ste,1001
edi,993
man,975
ren,964
tio,962
ind,961
per,956
lan,943
car,942
wor,920
tal,918
ost,910
mar,909
fil,902
ess,901
pla,900
ist,893
nte,893
mes,893
con,890
com,889
ime,868
ank,859
eri,849
ser,845
ear,841
ast,841
cha,838
sto,829
vie,828
fre,826
ian,822
str,815
int,814
min,812
che,797
ile,793
ama,789
ore,786
sho,783
tre,780
uni,779
log,777
spo,776
ard,772
der,770
age,768
ani,763
chi,759
ovi,758
ant,758
ite,755
ect,754
tar,733
par,733
kin,726
web,726
ina,725
les,723
