Character,Probability
g,0.023923586974263795
o,0.07325806632035166
l,0.04561564512870385
e,0.09589866690408763
y,0.016913961151993936
u,0.03287595553379197
t,0.06080031412620523
b,0.024352771033728616
f,0.01696304337156039
a,0.0916045434155061
c,0.03813460170920269
k,0.018963999904118456
i,0.07284942830628675
d,0.033122508078590907
w,0.01303989014714393
p,0.030219808442370055
h,0.024690639335860496
r,0.06183788941890076
S,1.1414469666617584e-06
q,0.0023000156378234432
m,0.034631500968517755
z,0.007226500745935593
n,0.06131054092030303
v,0.014176771325939039
s,0.06205019855469985
j,0.0059355242266411435
3,0.00208998939595768
6,0.001346907420660875
0,0.0023844827133564133
x,0.007909086031999324
1,0.003497393505851628
2,0.0031207160068532475
5,0.001507851442960183
9,0.0013822922766273894
4,0.0020580288808911503
8,0.0016242790335596823
-,0.009056240233494392
7,0.0013252199282943015
